21 1376 1568 32 32
20 1376 1600 32 32
11 1376 1984 32 32
21 1408 1568 32 32
20 1408 1600 32 32
11 1408 2176 32 32
21 1440 1568 32 32
20 1440 1600 32 32
4 1440 1760 256 128
21 1472 1568 32 32
20 1472 1600 32 32
11 1472 2304 32 32
11 1504 1952 32 32
36 1536 1888 32 32
36 1536 1920 32 32
36 1568 1888 32 32
36 1568 1920 32 32
15 1568 1984 32 32
15 1568 2016 32 32
15 1568 2048 32 32
15 1568 2080 32 32
15 1568 2112 32 32
10 1600 1728 32 32
36 1600 1920 32 32
15 1600 1984 32 32
15 1600 2016 32 32
15 1600 2048 32 32
15 1600 2080 32 32
15 1600 2112 32 32
4 1600 2240 256 128
3 1632 1664 32 32
3 1632 1696 32 32
36 1632 1920 32 32
15 1632 1984 32 32
15 1632 2016 32 32
15 1632 2048 32 32
15 1632 2080 32 32
15 1632 2112 32 32
3 1664 1664 32 32
3 1664 1696 32 32
36 1664 1920 32 32
15 1664 1984 32 32
15 1664 2016 32 32
15 1664 2048 32 32
15 1664 2080 32 32
15 1664 2112 32 32
3 1696 1664 32 32
3 1696 1696 32 32
36 1696 1920 32 32
15 1696 1984 32 32
15 1696 2016 32 32
15 1696 2048 32 32
15 1696 2080 32 32
15 1696 2112 32 32
11 1696 2176 32 32
36 1696 2368 32 32
36 1696 2400 32 32
36 1696 2432 32 32
36 1696 2464 32 32
3 1728 1664 32 32
3 1728 1696 32 32
11 1728 1824 32 32
36 1728 1920 32 32
15 1728 1984 32 32
15 1728 2016 32 32
15 1728 2048 32 32
15 1728 2080 32 32
15 1728 2112 32 32
36 1728 2368 32 32
36 1728 2400 32 32
36 1728 2432 32 32
36 1728 2464 32 32
3 1760 1664 32 32
3 1760 1696 32 32
36 1760 1920 32 32
14 1760 1952 32 32
12 1760 1984 32 32
12 1760 2016 32 32
12 1760 2048 32 32
12 1760 2080 32 32
12 1760 2112 32 32
13 1760 2144 32 32
36 1760 2464 32 32
3 1792 1664 32 32
3 1792 1696 32 32
4 1792 1760 256 128
36 1792 1920 32 32
15 1792 1984 32 32
15 1792 2016 32 32
15 1792 2048 32 32
15 1792 2080 32 32
15 1792 2112 32 32
36 1792 2464 32 32
3 1824 1664 32 32
3 1824 1696 32 32
